,tig1,tig1len,tig1_freq,dir2,tig2,tig2len,tig2_freq,dir2,n_barcodes
96,tig00001876_pilon_pilon,84541,19,f,tig00001837_pilon_pilon,952530,67,r,1
97,tig00001837_pilon_pilon,952530,67,f,tig00001876_pilon_pilon,84541,19,r,1
98,tig00001879_pilon_pilon,135220,4,r,tig00002786_pilon_pilon,206863,14,r,2
99,tig00002786_pilon_pilon,206863,14,f,tig00001879_pilon_pilon,135220,4,f,2
100,tig00001879_pilon_pilon,135220,5,r,tig00983189_pilon_pilon,57697,7,f,1
101,tig00983189_pilon_pilon,57697,7,r,tig00001879_pilon_pilon,135220,5,f,1
102,tig00001880_pilon_pilon,202742,39,f,tig00001957_pilon_pilon,77329,67,f,1
103,tig00001957_pilon_pilon,77329,67,r,tig00001880_pilon_pilon,202742,39,r,1
104,tig00001880_pilon_pilon,202742,39,f,tig00002777_pilon_pilon,111608,15,f,1
105,tig00002777_pilon_pilon,111608,15,r,tig00001880_pilon_pilon,202742,39,r,1
106,tig00001880_pilon_pilon,202742,34,f,tig00002963_pilon_pilon,124420,38,r,6
107,tig00002963_pilon_pilon,124420,38,f,tig00001880_pilon_pilon,202742,34,r,6
108,tig00001880_pilon_pilon,202742,35,f,tig00003325_pilon_pilon,57902,25,f,5
109,tig00003325_pilon_pilon,57902,25,r,tig00001880_pilon_pilon,202742,35,r,5
110,tig00001880_pilon_pilon,202742,39,f,tig00007569_pilon_pilon,62976500,15,f,1
111,tig00007569_pilon_pilon,62976500,15,r,tig00001880_pilon_pilon,202742,39,r,1
112,tig00001880_pilon_pilon,202742,39,f,tig00000332_pilon_pilon,110774,23,r,1
113,tig00000332_pilon_pilon,110774,23,f,tig00001880_pilon_pilon,202742,39,r,1
114,tig00001880_pilon_pilon,202742,39,f,tig00000377_pilon_pilon,93106,47,r,1
115,tig00000377_pilon_pilon,93106,47,f,tig00001880_pilon_pilon,202742,39,r,1
116,tig00001880_pilon_pilon,202742,39,f,tig00000470_pilon_pilon,91041,47,f,1
117,tig00000470_pilon_pilon,91041,47,r,tig00001880_pilon_pilon,202742,39,r,1
118,tig00001880_pilon_pilon,202742,39,f,tig00000914_pilon_pilon,74692,13,f,1
119,tig00000914_pilon_pilon,74692,13,r,tig00001880_pilon_pilon,202742,39,r,1
120,tig00001880_pilon_pilon,202742,39,f,tig00001341_pilon_pilon,72046,51,r,1
121,tig00001341_pilon_pilon,72046,51,f,tig00001880_pilon_pilon,202742,39,r,1
122,tig00001880_pilon_pilon,202742,39,f,tig00000131_pilon_pilon,60939,17,r,1
123,tig00000131_pilon_pilon,60939,17,f,tig00001880_pilon_pilon,202742,39,r,1
124,tig00001881_pilon_pilon,677661,27,f,tig00001901_pilon_pilon,156911,1,r,1
125,tig00001901_pilon_pilon,156911,1,f,tig00001881_pilon_pilon,677661,27,r,1
126,tig00001881_pilon_pilon,677661,27,f,tig00000156_pilon_pilon,271094,53,r,1
127,tig00000156_pilon_pilon,271094,53,f,tig00001881_pilon_pilon,677661,27,r,1
128,tig00001881_pilon_pilon,677661,27,f,tig00002093_pilon_pilon,62052,43,r,1
129,tig00002093_pilon_pilon,62052,43,f,tig00001881_pilon_pilon,677661,27,r,1
130,tig00001881_pilon_pilon,677661,27,f,tig00000300_pilon_pilon,44880,23,r,1
131,tig00000300_pilon_pilon,44880,23,f,tig00001881_pilon_pilon,677661,27,r,1
132,tig00001881_pilon_pilon,677661,27,f,tig00000031_pilon_pilon,82144,11,r,1
133,tig00000031_pilon_pilon,82144,11,f,tig00001881_pilon_pilon,677661,27,r,1
134,tig00001881_pilon_pilon,677661,27,f,tig00000910_pilon_pilon,74713,21,f,1
135,tig00000910_pilon_pilon,74713,21,r,tig00001881_pilon_pilon,677661,27,r,1
136,tig00001881_pilon_pilon,677661,27,r,tig00001039_pilon_pilon,4903480,41,f,1
137,tig00001039_pilon_pilon,4903480,41,r,tig00001881_pilon_pilon,677661,27,f,1
138,tig00001881_pilon_pilon,677661,27,f,tig00000008_pilon_pilon,61365,21,f,1
